,Country_Region,Confirmed,Deaths,Recovered,Active,Date,days_since_100,Confirmed_change,Confirmed_change_pct,Confirmed_change_7day
57,Azerbaijan,584.0,7.0,32.0,545.0,2020-04-05,10,63.0,0.12092130518234168,53.57142857142857
58,Georgia,174.0,2.0,36.0,136.0,2020-04-05,6,12.0,0.07407407407407418,11.857142857142858
59,Kazakhstan,584.0,6.0,42.0,536.0,2020-04-05,10,53.0,0.09981167608286245,42.857142857142854
60,Kyrgyzstan,147.0,1.0,9.0,137.0,2020-04-05,5,3.0,0.02083333333333326,
61,Uzbekistan,342.0,2.0,30.0,310.0,2020-04-05,8,76.0,0.2857142857142858,28.285714285714285
62,Armenia,833.0,8.0,62.0,763.0,2020-04-06,18,11.0,0.01338199513381988,50.142857142857146
63,Azerbaijan,641.0,7.0,44.0,590.0,2020-04-06,11,57.0,0.09760273972602729,52.57142857142857
64,Georgia,188.0,2.0,39.0,147.0,2020-04-06,7,14.0,0.08045977011494254,12.142857142857142
65,Kazakhstan,662.0,6.0,46.0,610.0,2020-04-06,11,78.0,0.13356164383561642,51.42857142857143
66,Kyrgyzstan,216.0,4.0,33.0,179.0,2020-04-06,6,69.0,0.4693877551020409,17.428571428571427
67,Uzbekistan,457.0,2.0,30.0,425.0,2020-04-06,9,115.0,0.3362573099415205,44.0
68,Armenia,853.0,8.0,87.0,758.0,2020-04-07,19,20.0,0.02400960384153672,45.857142857142854
69,Azerbaijan,717.0,8.0,44.0,665.0,2020-04-07,12,76.0,0.11856474258970362,59.857142857142854
70,Georgia,196.0,3.0,46.0,147.0,2020-04-07,8,8.0,0.042553191489361764,12.285714285714286
71,Kazakhstan,697.0,6.0,51.0,640.0,2020-04-07,12,35.0,0.052870090634441036,50.57142857142857
72,Kyrgyzstan,228.0,4.0,33.0,191.0,2020-04-07,7,12.0,0.05555555555555558,17.285714285714285
73,Uzbekistan,520.0,2.0,30.0,488.0,2020-04-07,10,63.0,0.1378555798687089,49.714285714285715
74,Armenia,881.0,9.0,114.0,758.0,2020-04-08,20,28.0,0.03282532239155911,44.285714285714285
75,Azerbaijan,822.0,8.0,63.0,751.0,2020-04-08,13,105.0,0.14644351464435146,66.14285714285714
76,Georgia,211.0,3.0,50.0,158.0,2020-04-08,9,15.0,0.07653061224489788,13.428571428571429
77,Kazakhstan,727.0,7.0,54.0,666.0,2020-04-08,13,30.0,0.043041606886657036,49.57142857142857
78,Kyrgyzstan,270.0,4.0,33.0,233.0,2020-04-08,8,42.0,0.18421052631578938,22.714285714285715
79,Uzbekistan,545.0,3.0,30.0,512.0,2020-04-08,11,25.0,0.04807692307692313,52.0
80,Armenia,921.0,10.0,138.0,773.0,2020-04-09,21,40.0,0.04540295119182747,36.857142857142854
81,Azerbaijan,926.0,9.0,101.0,816.0,2020-04-09,14,104.0,0.12652068126520688,75.14285714285714
82,Georgia,218.0,3.0,51.0,164.0,2020-04-09,10,7.0,0.033175355450236976,12.0
83,Kazakhstan,781.0,8.0,60.0,713.0,2020-04-09,14,54.0,0.07427785419532329,49.42857142857143
84,Kyrgyzstan,280.0,4.0,35.0,241.0,2020-04-09,9,10.0,0.03703703703703698,23.428571428571427
85,Uzbekistan,582.0,3.0,38.0,541.0,2020-04-09,12,37.0,0.06788990825688068,53.857142857142854
86,Armenia,937.0,12.0,149.0,776.0,2020-04-10,22,16.0,0.017372421281216077,28.714285714285715
87,Azerbaijan,991.0,10.0,159.0,822.0,2020-04-10,15,65.0,0.07019438444924408,78.28571428571429
88,Georgia,234.0,3.0,54.0,177.0,2020-04-10,11,16.0,0.07339449541284404,11.285714285714286
89,Kazakhstan,812.0,10.0,64.0,738.0,2020-04-10,15,31.0,0.03969270166453276,49.714285714285715
90,Kyrgyzstan,298.0,5.0,35.0,258.0,2020-04-10,10,18.0,0.06428571428571428,24.0
91,Uzbekistan,624.0,3.0,42.0,579.0,2020-04-10,13,42.0,0.07216494845360821,56.714285714285715
92,Armenia,967.0,13.0,173.0,781.0,2020-04-11,23,30.0,0.03201707577374591,28.142857142857142
93,Azerbaijan,1058.0,11.0,200.0,847.0,2020-04-11,16,67.0,0.06760847628657918,76.71428571428571
